,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_covariance_type,param_max_iter,param_n_components,param_reg_covar,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
358,0.0036880175272623696,0.00022037823994954428,-12.499512888918654,-2.284556428893234,spherical,100,3,0.1,0.01,"{'max_iter': 100, 'covariance_type': 'spherical', 'tol': 0.01, 'reg_covar': 0.1, 'n_components': 3}",61,-22.865842243798607,-2.5148143409762946,-6.738914026777699,-2.2929221364082726,-7.89378239617966,-2.045932809295134,0.00042473792350514693,2.685665329093266e-06,7.345248734524272,0.1915114643819671
359,0.004275878270467122,0.0002834002176920573,-12.397277322238704,-2.2896924094198985,spherical,100,3,0.1,0.1,"{'max_iter': 100, 'covariance_type': 'spherical', 'tol': 0.1, 'reg_covar': 0.1, 'n_components': 3}",55,-22.835096695167362,-2.5134961547961243,-6.505336390921348,-2.311434542613333,-7.851398880627402,-2.044146530850238,0.0012294166841524392,7.261984486953987e-05,7.401082173257368,0.19222696245391283
360,0.012171745300292969,0.00021870930989583334,-23.412300629984223,-1.8402420168300366,spherical,200,3,1e-06,1e-06,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-06, 'reg_covar': 1e-06, 'n_components': 3}",209,-47.787291266224194,-2.1304645831990627,-10.41370971595122,-1.8470709104758933,-12.035900907777261,-1.5431905568151536,0.0021397901842544176,3.899842626694137e-06,17.248439590357133,0.2398022391577581
361,0.00898599624633789,0.0002186298370361328,-24.63720963926294,-1.819174424358608,spherical,200,3,1e-06,1e-05,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-05, 'reg_covar': 1e-06, 'n_components': 3}",263,-47.76826480677585,-2.13047811383386,-10.413347802068715,-1.8470717449266956,-15.730016308944249,-1.4799734143152683,0.0028398405628129444,1.2765231453743784e-06,16.49951566713187,0.2662990629537931
362,0.0050623416900634766,0.00021831194559733072,-24.698289661127433,-1.8192210405221736,spherical,200,3,1e-06,0.0001,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.0001, 'reg_covar': 1e-06, 'n_components': 3}",276,-47.85261888796074,-2.130570050035501,-10.412193283109266,-1.8470788223052572,-15.830056812312296,-1.480014249225762,0.0009805263328236701,1.2961631163199815e-06,16.52131013295066,0.26631779824889124
363,0.00560299555460612,0.0002196629842122396,-23.42035348557313,-1.8404607624219391,spherical,200,3,1e-06,0.001,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.001, 'reg_covar': 1e-06, 'n_components': 3}",211,-47.821865536060486,-2.1308831012499962,-10.403294012881618,-1.8472493858419756,-12.035900907777284,-1.5432498001738457,0.0018037789853663831,2.614161841614807e-06,17.267342858333762,0.23994831136360423
364,0.003825028737386068,0.0002197424570719401,-24.251536113012865,-1.822107275483166,spherical,200,3,1e-06,0.01,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.01, 'reg_covar': 1e-06, 'n_components': 3}",235,-46.5156440238315,-2.1386529805390593,-10.391987136301381,-1.8476344146676953,-15.846977178905716,-1.4800344312427434,0.0011760183628409745,1.1894408501860113e-06,15.89983448319847,0.2694850948203576
365,0.003097057342529297,0.00031503041585286457,-24.66610623284184,-1.8197618558645896,spherical,200,3,1e-06,0.1,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.1, 'reg_covar': 1e-06, 'n_components': 3}",269,-47.625871033809425,-2.13129490258726,-10.391987136301381,-1.8476344146676953,-15.980460528414719,-1.4803562503388132,0.0002432837792151667,0.00012732033317638543,16.394528731671475,0.26647444142410176
366,0.0071582794189453125,0.0002740224202473958,-23.41558676147504,-1.840242081784158,spherical,200,3,1e-05,1e-06,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-06, 'reg_covar': 1e-05, 'n_components': 3}",210,-47.79842406478208,-2.1304646179870845,-10.412989125373647,-1.8470709512315449,-12.035347094269394,-1.5431906761338448,0.001034036357640073,7.851572646889322e-05,17.253986545423174,0.23980220431070226
367,0.00687400499979655,0.0002186298370361328,-24.651373946197765,-1.8191730851469303,spherical,200,3,1e-05,1e-05,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-05, 'reg_covar': 1e-05, 'n_components': 3}",266,-47.81363619583584,-2.1304739619158104,-10.412649031889226,-1.8470717580815244,-15.727836610868222,-1.479973535443456,0.0011664538010062878,1.215700987241932e-06,16.521311472170122,0.26629739412145004
