,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
17,0.002285003662109375,0.0004146099090576172,0.64,0.6631016042780749,1,4,0.0001,poly,"{'gamma': 0.0001, 'degree': 4, 'kernel': 'poly', 'C': 1}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,5.4316545598129284e-05,3.7897806223444505e-06,0.07480694106413222,0.020531375571207367
18,0.002931992212931315,0.00045299530029296875,0.5933333333333334,0.5930877401465637,1,5,0.001,poly,"{'gamma': 0.001, 'degree': 5, 'kernel': 'poly', 'C': 1}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,0.0008478966589683369,4.5365987515697426e-05,0.09212275130058559,0.017848953315208624
19,0.002995729446411133,0.0004173119862874349,0.5933333333333334,0.5930877401465637,1,5,0.0001,poly,"{'gamma': 0.0001, 'degree': 5, 'kernel': 'poly', 'C': 1}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,0.0009678413616799664,4.483001955722318e-06,0.09212275130058559,0.017848953315208624
20,0.002197742462158203,0.00040419896443684894,0.86,0.86660724896019,10,2,0.001,poly,"{'gamma': 0.001, 'degree': 2, 'kernel': 'poly', 'C': 10}",15,0.8627450980392157,0.8686868686868687,0.8627450980392157,0.8585858585858586,0.8541666666666666,0.8725490196078431,4.811371202994131e-05,8.99132768232406e-07,0.004001633653325244,0.005887052464924498
21,0.0022477308909098306,0.0004219214121500651,0.86,0.86660724896019,10,2,0.0001,poly,"{'gamma': 0.0001, 'degree': 2, 'kernel': 'poly', 'C': 10}",15,0.8627450980392157,0.8686868686868687,0.8627450980392157,0.8585858585858586,0.8541666666666666,0.8725490196078431,2.5310826980408293e-05,1.2581836336239688e-05,0.004001633653325244,0.005887052464924498
22,0.0022129217783610025,0.00040539105733235675,0.76,0.7702515349574174,10,3,0.001,poly,"{'gamma': 0.001, 'degree': 3, 'kernel': 'poly', 'C': 10}",22,0.7254901960784313,0.7575757575757576,0.803921568627451,0.8080808080808081,0.75,0.7450980392156863,7.828879436248328e-05,4.49566384116203e-07,0.033057683789345274,0.027230054384220215
23,0.002214670181274414,0.00040404001871744793,0.76,0.7702515349574174,10,3,0.0001,poly,"{'gamma': 0.0001, 'degree': 3, 'kernel': 'poly', 'C': 10}",22,0.7254901960784313,0.7575757575757576,0.803921568627451,0.8080808080808081,0.75,0.7450980392156863,4.85613640135806e-05,2.170642262100802e-06,0.033057683789345274,0.027230054384220215
24,0.0022923946380615234,0.0004146099090576172,0.64,0.6631016042780749,10,4,0.001,poly,"{'gamma': 0.001, 'degree': 4, 'kernel': 'poly', 'C': 10}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,6.987359402211522e-05,6.034706594648244e-06,0.07480694106413222,0.020531375571207367
25,0.002311229705810547,0.00044536590576171875,0.64,0.6631016042780749,10,4,0.0001,poly,"{'gamma': 0.0001, 'degree': 4, 'kernel': 'poly', 'C': 10}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,5.1809112463155824e-05,4.220121098406643e-05,0.07480694106413222,0.020531375571207367
26,0.0023273626963297525,0.00041230519612630207,0.5933333333333334,0.5930877401465637,10,5,0.001,poly,"{'gamma': 0.001, 'degree': 5, 'kernel': 'poly', 'C': 10}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,6.39463736786889e-05,2.503079692208548e-06,0.09212275130058559,0.017848953315208624
