,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_leaf_size,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
16,0.00047008196512858075,0.0009409586588541666,0.9733333333333334,0.9667260843731432,10,9,uniform,"{'weights': 'uniform', 'n_neighbors': 9, 'leaf_size': 10}",43,0.9607843137254902,0.9595959595959596,0.9803921568627451,0.9797979797979798,0.9791666666666666,0.9607843137254902,3.781438590167465e-06,2.621327677075694e-05,0.009020673423841885,0.009255948857633523
17,0.0005199909210205078,0.0012030601501464844,0.98,1.0,10,9,distance,"{'weights': 'distance', 'n_neighbors': 9, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,7.217667188862072e-05,0.00016564904688811082,0.015924659219017204,0.0
18,0.0005196730295817057,0.0010393460591634114,0.9733333333333334,0.9635571400277282,10,10,uniform,"{'weights': 'uniform', 'n_neighbors': 10, 'leaf_size': 10}",43,0.9607843137254902,0.9696969696969697,0.9803921568627451,0.9797979797979798,0.9791666666666666,0.9411764705882353,5.763957829670701e-05,0.0001132850979275867,0.009020673423841885,0.016353967402133508
19,0.0004889170328776041,0.0010283788045247395,0.9866666666666667,1.0,10,10,distance,"{'weights': 'distance', 'n_neighbors': 10, 'leaf_size': 10}",1,0.9803921568627451,1.0,0.9803921568627451,1.0,1.0,1.0,9.930610041083726e-06,4.4548915389317116e-05,0.009146591207600491,0.0
20,0.0006859302520751953,0.0014190673828125,0.9733333333333334,0.9668251138839373,10,11,uniform,"{'weights': 'uniform', 'n_neighbors': 11, 'leaf_size': 10}",43,0.9607843137254902,0.9696969696969697,0.9607843137254902,0.9797979797979798,1.0,0.9509803921568627,0.00015521800261826136,0.0003898077418844669,0.018293182415200927,0.011938704737714826
21,0.0006970564524332682,0.0014332930246988933,0.98,1.0,10,11,distance,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,0.00020971407482129917,0.000518613857618238,0.015924659219017204,0.0
22,0.000594933827718099,0.0011286735534667969,0.9666666666666667,0.9700930877401466,10,12,uniform,"{'weights': 'uniform', 'n_neighbors': 12, 'leaf_size': 10}",67,0.9607843137254902,0.9696969696969697,0.9607843137254902,0.9797979797979798,0.9791666666666666,0.9607843137254902,0.00016841223440678166,0.0002463066634962887,0.008574929257125411,0.007767348604130532
23,0.0004783471425374349,0.0010104974110921223,0.98,1.0,10,12,distance,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,8.287308480726058e-06,1.1582879623926207e-05,0.015924659219017204,0.0
24,0.0004722277323404948,0.0009609858194986979,0.96,0.97346009110715,10,13,uniform,"{'weights': 'uniform', 'n_neighbors': 13, 'leaf_size': 10}",85,0.9607843137254902,0.9696969696969697,0.9411764705882353,0.98989898989899,0.9791666666666666,0.9607843137254902,5.619579801452538e-07,1.2032201457050536e-05,0.015434872662825786,0.012180227262049363
25,0.0006620089213053385,0.0013390382130940754,0.9733333333333334,1.0,10,13,distance,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 10}",43,0.9803921568627451,1.0,0.9411764705882353,1.0,1.0,1.0,0.00026440268083171523,0.0004716911930417378,0.024414717515722953,0.0
